role,rank,panel,piece,window_start,window_end,window_margin_mean,window_margin_median,casm_direct_exact,window_f1__casm_full,window_count__casm_full,track_f1__casm_full,window_f1__direct,window_count__direct,track_f1__direct,window_f1__dbn_default,window_count__dbn_default,track_f1__dbn_default,window_f1__dbn_matched_30_300,window_count__dbn_matched_30_300,track_f1__dbn_matched_30_300,window_f1__plpdp,window_count__plpdp,track_f1__plpdp
ambiguous,8,bt_smc_oof,smc/smc_032/track.npy,8.25,20.25,0.1172468289732933,0.14182597398757935,True,0.9473684210526315,19,0.6190476190476191,0.9473684210526315,19,0.6117647058823529,0.8372093023255814,24,0.591304347826087,0.8372093023255814,24,0.591304347826087,0.9,21,0.6470588235294118
ambiguous,9,bt_smc_oof,smc/smc_167/track.npy,13.0,25.0,0.15951895713806152,0.15778633952140808,True,0.6153846153846154,6,0.5333333333333333,0.6153846153846154,6,0.5333333333333333,0.4,13,0.3548387096774194,0.47058823529411764,10,0.44,0.5,9,0.4313725490196078
ambiguous,10,bt_smc_oof,smc/smc_271/track.npy,15.0,27.0,0.0765022337436676,0.07337544113397598,True,1.0,21,1.0,1.0,21,1.0,0.975609756097561,20,1.0,0.975609756097561,20,1.0,0.975609756097561,20,1.0
ambiguous,11,bt_smc_oof,smc/smc_215/track.npy,17.25,29.25,0.13076423108577728,0.15209296345710754,True,1.0,11,0.8787878787878788,1.0,11,0.8787878787878788,0.6666666666666666,13,0.6571428571428571,0.8181818181818182,11,0.8181818181818182,1.0,11,0.9090909090909092
ambiguous,12,bt_smc_oof,smc/smc_287/track.npy,22.75,34.75,0.03166193515062332,0.03127766773104668,True,1.0,20,1.0,1.0,20,1.0,1.0,20,1.0,1.0,20,1.0,1.0,20,1.0
ambiguous,13,bt_smc_oof,smc/smc_221/track.npy,8.75,20.75,0.09464549273252487,0.10203930735588074,True,0.5,10,0.5172413793103449,0.5,10,0.4918032786885246,0.21428571428571427,18,0.3058823529411765,0.11764705882352941,7,0.3272727272727273,0.47619047619047616,11,0.3733333333333333
ambiguous,14,bt_smc_oof,smc/smc_273/track.npy,23.0,35.0,0.053276997059583664,0.05168784409761429,True,1.0,19,1.0,1.0,19,1.0,1.0,19,1.0,1.0,19,1.0,1.0,19,1.0
ambiguous,15,bt_smc_oof,smc/smc_048/track.npy,12.5,24.5,0.05121088773012161,0.048869550228118896,True,0.6666666666666666,6,0.5116279069767442,0.6666666666666666,6,0.5,0.3,14,0.3389830508474576,0.5,6,0.5,0.6666666666666666,6,0.3913043478260869
ambiguous,16,bt_smc_oof,smc/smc_216/track.npy,22.75,34.75,0.08935325592756271,0.08102294057607651,True,0.8333333333333334,12,0.7714285714285715,0.8333333333333334,12,0.732394366197183,0.5833333333333334,12,0.6111111111111112,0.6956521739130435,11,0.7671232876712328,0.8333333333333334,12,0.7945205479452055
ambiguous,17,bt_smc_oof,smc/smc_171/track.npy,11.0,23.0,0.1233963668346405,0.12285124510526657,True,0.5625,21,0.5,0.5625,21,0.4946236559139785,0.4375,21,0.5054945054945054,0.4375,21,0.5054945054945054,0.5,21,0.4782608695652173
ambiguous,18,bt_smc_oof,smc/smc_007/track.npy,12.5,24.5,0.15935064852237701,0.15632304549217224,True,0.9,10,0.6,0.9,10,0.6,0.46153846153846156,16,0.4,0.8,10,0.5573770491803278,0.9,10,0.6349206349206349
ambiguous,19,bt_smc_oof,smc/smc_281/track.npy,16.0,28.0,0.081492580473423,0.07629341632127762,True,1.0,18,1.0,1.0,18,1.0,1.0,18,1.0,1.0,18,1.0,1.0,18,1.0
ambiguous,20,bt_smc_oof,smc/smc_283/track.npy,11.0,23.0,0.14907582104206085,0.15339839458465576,True,1.0,17,0.9090909090909091,1.0,17,0.8695652173913044,1.0,17,1.0,1.0,17,1.0,0.7083333333333334,31,0.7101449275362319
